Resolution,Server Name,Task Name,Total Applied Changes,Avg Apply Throughput (rec/sec),latency,Total Change Volume
21-Feb-2025,QLIK-REPLICATE-PROD-1,TELJRN24_JRNBRI_TO_KAFKA,"106,866,524","1,159",250,233.29 GB
22-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB08_JRNBRIM_TO_KAFKA,"149,618,219","1,604",1,517.62 GB
22-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA,"226,029",0,"1,557",2.45 GB
22-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA_2,"299,875,258","3,619","14,675",6.32 TB
22-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB11_JRNBRIM_TO_KAFKA,"1,027,659",14,8,16.47 GB
22-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB13_JRNBRIM_TO_KAFKA,"15,575,251",293,631,23.02 GB
22-Feb-2025,QLIK-REPLICATE-PROD-1,JRTLOG_JRNBRIM_TO_KAFKA,"29,685,813",317,2,215.66 GB
22-Feb-2025,QLIK-REPLICATE-PROD-1,TELJRN24_JRNBRI_TO_KAFKA,"108,561,682","1,131",233,236.82 GB
23-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB08_JRNBRIM_TO_KAFKA,"139,967,482","1,589",3,478.20 GB
23-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA,"119,544",0,"1,415",1.25 GB
23-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB10_JRNBRIM_TO_KAFKA_2,"299,940,245","3,613","13,190",6.32 TB
23-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB11_JRNBRIM_TO_KAFKA,"998,152",14,9,16.04 GB
23-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB13_JRNBRIM_TO_KAFKA,"15,420,135",169,638,22.60 GB
23-Feb-2025,QLIK-REPLICATE-PROD-1,JRTLOG_JRNBRIM_TO_KAFKA,"25,668,017",279,1,186.60 GB
23-Feb-2025,QLIK-REPLICATE-PROD-1,TELJRN24_JRNBRI_TO_KAFKA,"88,743,120","1,030",156,198.57 GB
24-Feb-2025,QLIK-REPLICATE-PROD-1,JRRB08_JRNBRIM_TO_KAFKA,"150,377,553","1,799",2,520.81 GB
